slug,corpus,language,zm_c,selection_note,original_step2_expression,original_step2_math,widened_step2_expression,widened_step2_math,widened_step2_rmse,widened_matches_original,widened_is_bregman,cos_vs_exp,cos_vs_xx,cos_vs_is,span_r2,span_coeffs_json,manifold_verdict,top10_json,canonical_source
arabic_1001_nights,"One Thousand and One Nights (Arabic, Wikisource)",Arabic,0.0,multilingual c≈0 test case,"sub[pow[x,x],sqrt[x]]","sub[pow[x,x],sqrt[x]]","sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.20359386494267542,True,False,0.972777142020992,1.0000000000000002,0.9901804453264317,1.0,"[7.411090063147115e-16, 0.9999999999999997]",yes,"[{""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 1, ""rmse"": 0.20359386494267542, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 2, ""rmse"": 0.20488363490648717, ""uses_new_operator"": false}, {""expr"": ""mul[sub[1,x],sub[1,x]]"", ""math"": ""((1-x)*(1-x))"", ""rank"": 3, ""rmse"": 0.20488871982016407, ""uses_new_operator"": false}, {""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 4, ""rmse"": 0.2050810931556482, ""uses_new_operator"": false}, {""expr"": ""sub[sub[x,1],log[x]]"", ""math"": ""((x-1)-log(x))"", ""rank"": 5, ""rmse"": 0.20537194351156746, ""uses_new_operator"": false}, {""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 6, ""rmse"": 0.20698579072823503, ""uses_new_operator"": true}, {""expr"": ""mul[sub[x,1],log[x]]"", ""math"": ""((x-1)*log(x))"", ""rank"": 7, ""rmse"": 0.20752574355771763, ""uses_new_operator"": false}, {""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 8, ""rmse"": 0.20820235213615065, ""uses_new_operator"": true}, {""expr"": ""div[sub[x,1],eml[1,x]]"", ""math"": ""((x-1)/EML(1,x))"", ""rank"": 9, ""rmse"": 0.21058551301405376, ""uses_new_operator"": false}, {""expr"": ""mul[sub[x,1],mul[x,x]]"", ""math"": ""((x-1)*(x*x))"", ""rank"": 10, ""rmse"": 0.21154874996803127, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
aesops_fables,Aesop's Fables,English,3.68769267556447,empirical English low-c family (original step-2 winner is exp-Bregman),"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))","sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.16817471630002356,False,False,-0.9427692187937401,-0.9869762675286,-0.9786876112230537,0.9777161409454964,"[0.03287538419511464, -0.06628334327874229]",yes,"[{""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 1, ""rmse"": 0.16817471630002356, ""uses_new_operator"": true}, {""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 2, ""rmse"": 0.16832494481798596, ""uses_new_operator"": true}, {""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 3, ""rmse"": 0.16922954056178502, ""uses_new_operator"": false}, {""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 4, ""rmse"": 0.17159871401499432, ""uses_new_operator"": false}, {""expr"": ""sub[sqrt[x],pow[x,x]]"", ""math"": ""(sqrt(x)-pow(x,x))"", ""rank"": 5, ""rmse"": 0.17239960126205842, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 6, ""rmse"": 0.17479457575179103, ""uses_new_operator"": false}, {""expr"": ""div[sub[x,1],eml[1,x]]"", ""math"": ""((x-1)/EML(1,x))"", ""rank"": 7, ""rmse"": 0.1749392242361762, ""uses_new_operator"": false}, {""expr"": ""div[sub[1,x],eml[1,x]]"", ""math"": ""((1-x)/EML(1,x))"", ""rank"": 8, ""rmse"": 0.17497160606504875, ""uses_new_operator"": false}, {""expr"": ""sub[div[x,1],pow[x,x]]"", ""math"": ""((x/1)-pow(x,x))"", ""rank"": 9, ""rmse"": 0.17549567485117257, ""uses_new_operator"": false}, {""expr"": ""sub[sub[x,1],log[x]]"", ""math"": ""((x-1)-log(x))"", ""rank"": 10, ""rmse"": 0.1771438910999912, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),English,6.42540318643635,empirical English low-c family (original step-2 winner is exp-Bregman),"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))","eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.18278688989650455,True,True,1.0,0.9742209314874835,0.937911539691386,1.0,"[1.0000000000000013, -1.266552387435982e-15]",yes,"[{""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 1, ""rmse"": 0.18278688989650455, ""uses_new_operator"": false}, {""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 2, ""rmse"": 0.18282637890562417, ""uses_new_operator"": true}, {""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 3, ""rmse"": 0.18284971622897273, ""uses_new_operator"": true}, {""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 4, ""rmse"": 0.1845699635740453, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 5, ""rmse"": 0.1855988570468531, ""uses_new_operator"": false}, {""expr"": ""sub[sub[x,1],log[x]]"", ""math"": ""((x-1)-log(x))"", ""rank"": 6, ""rmse"": 0.18624953256722684, ""uses_new_operator"": false}, {""expr"": ""sub[sqrt[x],pow[x,x]]"", ""math"": ""(sqrt(x)-pow(x,x))"", ""rank"": 7, ""rmse"": 0.18694417702938554, ""uses_new_operator"": false}, {""expr"": ""mul[sub[1,x],sub[1,x]]"", ""math"": ""((1-x)*(1-x))"", ""rank"": 8, ""rmse"": 0.18732452301832536, ""uses_new_operator"": false}, {""expr"": ""div[sub[x,1],eml[1,x]]"", ""math"": ""((x-1)/EML(1,x))"", ""rank"": 9, ""rmse"": 0.1876760491256233, ""uses_new_operator"": false}, {""expr"": ""sub[div[x,1],pow[x,x]]"", ""math"": ""((x/1)-pow(x,x))"", ""rank"": 10, ""rmse"": 0.1876928741790554, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
canterbury_tales,Canterbury Tales,English,15.250535352832612,empirical English low-c family (original step-2 winner is exp-Bregman),"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))","sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.1671471869143485,False,False,-0.9709655955005854,-0.9940074441768635,-0.9768012445313283,0.9883644294336114,"[-0.011056349486688174, -0.0534670885918766]",yes,"[{""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 1, ""rmse"": 0.1671471869143485, ""uses_new_operator"": true}, {""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 2, ""rmse"": 0.16738221555197022, ""uses_new_operator"": true}, {""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 3, ""rmse"": 0.1678242283162659, ""uses_new_operator"": false}, {""expr"": ""sub[sqrt[x],pow[x,x]]"", ""math"": ""(sqrt(x)-pow(x,x))"", ""rank"": 4, ""rmse"": 0.17016778812525912, ""uses_new_operator"": false}, {""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 5, ""rmse"": 0.17057069256526533, ""uses_new_operator"": false}, {""expr"": ""sub[div[x,1],pow[x,x]]"", ""math"": ""((x/1)-pow(x,x))"", ""rank"": 6, ""rmse"": 0.1708961208533756, ""uses_new_operator"": false}, {""expr"": ""sub[sub[x,1],log[x]]"", ""math"": ""((x-1)-log(x))"", ""rank"": 7, ""rmse"": 0.17093623968880178, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 8, ""rmse"": 0.17113704626276577, ""uses_new_operator"": false}, {""expr"": ""add[sub[1,x],log[x]]"", ""math"": ""((1-x)+log(x))"", ""rank"": 9, ""rmse"": 0.17155766787686438, ""uses_new_operator"": false}, {""expr"": ""mul[sub[1,x],sub[x,1]]"", ""math"": ""((1-x)*(x-1))"", ""rank"": 10, ""rmse"": 0.1723299287007539, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
collected_poe,Collected Poe,English,6.957528471368607,empirical English low-c family (original step-2 winner is exp-Bregman),"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))","sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.1731537226006591,False,False,-0.9653519871165932,-0.9932028964404107,-0.9801480026282209,0.986456807437462,"[0.0013604037216589685, -0.056070541761107345]",yes,"[{""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 1, ""rmse"": 0.1731537226006591, ""uses_new_operator"": true}, {""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 2, ""rmse"": 0.17363931153446965, ""uses_new_operator"": true}, {""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 3, ""rmse"": 0.17464893963749728, ""uses_new_operator"": false}, {""expr"": ""sub[sqrt[x],pow[x,x]]"", ""math"": ""(sqrt(x)-pow(x,x))"", ""rank"": 4, ""rmse"": 0.17545087325392908, ""uses_new_operator"": false}, {""expr"": ""sub[div[x,1],pow[x,x]]"", ""math"": ""((x/1)-pow(x,x))"", ""rank"": 5, ""rmse"": 0.17722592930767092, ""uses_new_operator"": false}, {""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 6, ""rmse"": 0.17780968721161927, ""uses_new_operator"": false}, {""expr"": ""div[sub[1,x],eml[1,x]]"", ""math"": ""((1-x)/EML(1,x))"", ""rank"": 7, ""rmse"": 0.17879414959358172, ""uses_new_operator"": false}, {""expr"": ""mul[sub[1,x],sub[x,1]]"", ""math"": ""((1-x)*(x-1))"", ""rank"": 8, ""rmse"": 0.17884344032060043, ""uses_new_operator"": false}, {""expr"": ""add[sub[1,x],log[x]]"", ""math"": ""((1-x)+log(x))"", ""rank"": 9, ""rmse"": 0.17903141876702783, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 10, ""rmse"": 0.17911421443607753, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,English,10.294479612917323,empirical English low-c family (original step-2 winner is exp-Bregman),"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))","sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.16802673417015204,False,False,-0.9510308754903435,-0.9902898115408426,-0.9780654550921051,0.9815452496211675,"[0.016011332361425663, -0.06159463659435839]",yes,"[{""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 1, ""rmse"": 0.16802673417015204, ""uses_new_operator"": true}, {""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 2, ""rmse"": 0.16831725244116796, ""uses_new_operator"": true}, {""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 3, ""rmse"": 0.1692196987389226, ""uses_new_operator"": false}, {""expr"": ""sub[sqrt[x],pow[x,x]]"", ""math"": ""(sqrt(x)-pow(x,x))"", ""rank"": 4, ""rmse"": 0.1710875766139428, ""uses_new_operator"": false}, {""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 5, ""rmse"": 0.1720915784289525, ""uses_new_operator"": false}, {""expr"": ""sub[div[x,1],pow[x,x]]"", ""math"": ""((x/1)-pow(x,x))"", ""rank"": 6, ""rmse"": 0.1731020971045488, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 7, ""rmse"": 0.1738734416273575, ""uses_new_operator"": false}, {""expr"": ""div[sub[1,x],eml[1,x]]"", ""math"": ""((1-x)/EML(1,x))"", ""rank"": 8, ""rmse"": 0.17403730451678676, ""uses_new_operator"": false}, {""expr"": ""div[sub[x,1],eml[1,x]]"", ""math"": ""((x-1)/EML(1,x))"", ""rank"": 9, ""rmse"": 0.17430077958530202, ""uses_new_operator"": false}, {""expr"": ""sub[sub[x,1],log[x]]"", ""math"": ""((x-1)-log(x))"", ""rank"": 10, ""rmse"": 0.17451384855568502, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
critique_of_pure_reason,Critique of Pure Reason,English,57.9583035946641,empirical English low-c family (original step-2 winner is exp-Bregman),"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))","sub[sin[x],erf[x]]",(sin(x)-erf(x)),0.17641460727521532,False,False,0.9532130052260764,0.9903317406371762,0.9791491397020726,0.9818643465180855,"[-0.018851964717873666, 0.06205889153447474]",yes,"[{""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 1, ""rmse"": 0.17641460727521532, ""uses_new_operator"": true}, {""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 2, ""rmse"": 0.17647312549496663, ""uses_new_operator"": false}, {""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 3, ""rmse"": 0.1766544741979789, ""uses_new_operator"": true}, {""expr"": ""sub[sub[x,1],log[x]]"", ""math"": ""((x-1)-log(x))"", ""rank"": 4, ""rmse"": 0.17708956325481962, ""uses_new_operator"": false}, {""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 5, ""rmse"": 0.17747111204888652, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 6, ""rmse"": 0.179747369536625, ""uses_new_operator"": false}, {""expr"": ""mul[sub[1,x],sub[1,x]]"", ""math"": ""((1-x)*(1-x))"", ""rank"": 7, ""rmse"": 0.18201439089620247, ""uses_new_operator"": false}, {""expr"": ""sub[sqrt[x],pow[x,x]]"", ""math"": ""(sqrt(x)-pow(x,x))"", ""rank"": 8, ""rmse"": 0.1822605807136197, ""uses_new_operator"": false}, {""expr"": ""div[sub[1,x],eml[1,x]]"", ""math"": ""((1-x)/EML(1,x))"", ""rank"": 9, ""rmse"": 0.18236101984949582, ""uses_new_operator"": false}, {""expr"": ""div[sub[x,1],eml[1,x]]"", ""math"": ""((x-1)/EML(1,x))"", ""rank"": 10, ""rmse"": 0.18255161761603136, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
don_quixote,Don Quixote,English,65.66394188576379,empirical English low-c family (original step-2 winner is exp-Bregman),"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))","sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.17539345315994231,False,False,-0.9703307172463348,-0.9938328241016718,-0.9774771378304464,0.9879315180696797,"[-0.00949624049730515, -0.0536852597892234]",yes,"[{""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 1, ""rmse"": 0.17539345315994231, ""uses_new_operator"": true}, {""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 2, ""rmse"": 0.17555405735225219, ""uses_new_operator"": true}, {""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 3, ""rmse"": 0.1763356841530791, ""uses_new_operator"": false}, {""expr"": ""sub[sub[x,1],log[x]]"", ""math"": ""((x-1)-log(x))"", ""rank"": 4, ""rmse"": 0.17692787402335688, ""uses_new_operator"": false}, {""expr"": ""sub[sqrt[x],pow[x,x]]"", ""math"": ""(sqrt(x)-pow(x,x))"", ""rank"": 5, ""rmse"": 0.177782754951745, ""uses_new_operator"": false}, {""expr"": ""sub[div[x,1],pow[x,x]]"", ""math"": ""((x/1)-pow(x,x))"", ""rank"": 6, ""rmse"": 0.17887159100651798, ""uses_new_operator"": false}, {""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 7, ""rmse"": 0.17916885732189522, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 8, ""rmse"": 0.17962778653555275, ""uses_new_operator"": false}, {""expr"": ""div[sub[1,x],eml[1,x]]"", ""math"": ""((1-x)/EML(1,x))"", ""rank"": 9, ""rmse"": 0.18013947664140664, ""uses_new_operator"": false}, {""expr"": ""mul[sub[1,x],sub[x,1]]"", ""math"": ""((1-x)*(x-1))"", ""rank"": 10, ""rmse"": 0.18039864429037158, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
dubliners,Dubliners,English,3.263282326595508,empirical English low-c family (original step-2 winner is exp-Bregman),"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))","eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.17518979953881125,True,True,0.9999999999999998,0.9678809395215042,0.9273918604754052,1.0,"[1.0000000000000009, -7.591173773746377e-16]",yes,"[{""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 1, ""rmse"": 0.17518979953881125, ""uses_new_operator"": false}, {""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 2, ""rmse"": 0.17544146987905637, ""uses_new_operator"": true}, {""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 3, ""rmse"": 0.1757227215094735, ""uses_new_operator"": true}, {""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 4, ""rmse"": 0.17632914837060779, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 5, ""rmse"": 0.1786986501957996, ""uses_new_operator"": false}, {""expr"": ""mul[sub[1,x],sub[1,x]]"", ""math"": ""((1-x)*(1-x))"", ""rank"": 6, ""rmse"": 0.18077048968881346, ""uses_new_operator"": false}, {""expr"": ""sub[sub[x,1],log[x]]"", ""math"": ""((x-1)-log(x))"", ""rank"": 7, ""rmse"": 0.18084229963650614, ""uses_new_operator"": false}, {""expr"": ""div[sub[x,1],eml[1,x]]"", ""math"": ""((x-1)/EML(1,x))"", ""rank"": 8, ""rmse"": 0.1810856247172799, ""uses_new_operator"": false}, {""expr"": ""sub[sqrt[x],pow[x,x]]"", ""math"": ""(sqrt(x)-pow(x,x))"", ""rank"": 9, ""rmse"": 0.18143708689167504, ""uses_new_operator"": false}, {""expr"": ""div[sub[1,x],eml[1,x]]"", ""math"": ""((1-x)/EML(1,x))"", ""rank"": 10, ""rmse"": 0.18177784855435708, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
emile,Emile,English,51.48067915381241,empirical English low-c family (original step-2 winner is exp-Bregman),"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))","sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.17943049566076236,False,False,-0.962554070882439,-0.9924508641141957,-0.977908016341421,0.9849864869680007,"[0.0031207333604423744, -0.05777278801897893]",yes,"[{""expr"": ""sub[erf[x],sin[x]]"", ""math"": ""(erf(x)-sin(x))"", ""rank"": 1, ""rmse"": 0.17943049566076236, ""uses_new_operator"": true}, {""expr"": ""sub[sin[x],erf[x]]"", ""math"": ""(sin(x)-erf(x))"", ""rank"": 2, ""rmse"": 0.17956698378802405, ""uses_new_operator"": true}, {""expr"": ""eml[sub[x,1],eml[x,1]]"", ""math"": ""EML((x-1),EML(x,1))"", ""rank"": 3, ""rmse"": 0.18033837337902978, ""uses_new_operator"": false}, {""expr"": ""sub[sub[x,1],log[x]]"", ""math"": ""((x-1)-log(x))"", ""rank"": 4, ""rmse"": 0.181539251240389, ""uses_new_operator"": false}, {""expr"": ""sub[sqrt[x],pow[x,x]]"", ""math"": ""(sqrt(x)-pow(x,x))"", ""rank"": 5, ""rmse"": 0.18220448616439197, ""uses_new_operator"": false}, {""expr"": ""sub[pow[x,x],sqrt[x]]"", ""math"": ""(pow(x,x)-sqrt(x))"", ""rank"": 6, ""rmse"": 0.18290425956361464, ""uses_new_operator"": false}, {""expr"": ""sub[div[x,1],pow[x,x]]"", ""math"": ""((x/1)-pow(x,x))"", ""rank"": 7, ""rmse"": 0.18364962089185866, ""uses_new_operator"": false}, {""expr"": ""add[neg[x],pow[x,x]]"", ""math"": ""((-x)+pow(x,x))"", ""rank"": 8, ""rmse"": 0.18387368982328164, ""uses_new_operator"": false}, {""expr"": ""div[sub[1,x],eml[1,x]]"", ""math"": ""((1-x)/EML(1,x))"", ""rank"": 9, ""rmse"": 0.1844255510746463, ""uses_new_operator"": false}, {""expr"": ""div[sub[x,1],eml[1,x]]"", ""math"": ""((x-1)/EML(1,x))"", ""rank"": 10, ""rmse"": 0.1851014183875947, ""uses_new_operator"": false}]",results/zipf_widened_grammar_extended/summary.json
