slug,corpus,winner_expr,winner_family,c,full_best_formula,top50_best_formula,top100_best_formula,top200_best_formula,full_gap_euclidean,top50_gap_euclidean,top100_gap_euclidean,top200_gap_euclidean
shakespeare,Complete Works of Shakespeare,"sub[sub[x,1],log[x]]",high_family,244.84484777363113,is_bregman,is_bregman,is_bregman,is_bregman,0.0042082983911211624,0.07368992767438376,0.04538938671235049,0.04547480851702684
war_and_peace,War and Peace,"sub[sub[x,1],log[x]]",high_family,209.1315494553841,is_bregman,is_bregman,is_bregman,is_bregman,0.0054093805243375925,0.09428585471931605,0.07025430796320187,0.06130341297371411
moby_dick,Moby Dick,"eml[sub[x,1],eml[x,1]]",low_family,10.497932011426359,exp_bregman,xpow_sqrt,xpow_sqrt,xpow_sqrt,0.0059862737288395584,0.2728104523436675,0.2663939705263922,0.23959540691135583
king_james_bible,King James Bible,"sub[sub[x,1],log[x]]",high_family,171.38167664978175,is_bregman,is_bregman,is_bregman,is_bregman,0.005951682350291393,0.10447221306791232,0.0784707096613832,0.06677776976424388
federalist_papers,Federalist Papers,"sub[sub[x,1],log[x]]",high_family,109.04140681413556,is_bregman,is_bregman,is_bregman,is_bregman,0.00707833871256261,0.12376825911008427,0.09533803920823414,0.0735359876694966
grimms_fairy_tales,Grimm's Fairy Tales,"eml[sub[x,1],eml[x,1]]",low_family,45.98251274197185,exp_bregman,is_bregman,xpow_sqrt,xpow_sqrt,0.007493901935332503,0.07862951230900353,0.13756475499344234,0.15444905253175217
don_quixote,Don Quixote,"eml[sub[x,1],eml[x,1]]",low_family,65.66394188576379,exp_bregman,is_bregman,is_bregman,xpow_sqrt,0.005134773800991449,0.11552172818828749,0.08335399064081456,0.07312454812833863
pride_and_prejudice,Pride and Prejudice,"eml[sub[x,1],eml[x,1]]",low_family,34.11942084275591,exp_bregman,xpow_sqrt,xpow_sqrt,xpow_sqrt,0.007325131620378067,0.06584406447982957,0.15631305838798218,0.18126262060383952
canterbury_tales,Canterbury Tales,"eml[sub[x,1],eml[x,1]]",low_family,15.250535352832612,exp_bregman,xpow_sqrt,xpow_sqrt,xpow_sqrt,0.005226518267786084,0.23586764709945723,0.25010889948675585,0.23983525791314372
arabian_nights_vol1,Arabian Nights (Vol 1),"eml[sub[x,1],eml[x,1]]",low_family,6.42540318643635,exp_bregman,xpow_sqrt,xpow_sqrt,xpow_sqrt,0.004537633121820817,0.2845658287568599,0.27152145661638566,0.24551171340616387
aesops_fables,Aesop's Fables,"eml[sub[x,1],eml[x,1]]",low_family,3.68769267556447,exp_bregman,xpow_sqrt,xpow_sqrt,xpow_sqrt,0.008769829059536799,0.2776647581328109,0.23394571642596637,0.18427405099381125
complete_sherlock_holmes,Complete Sherlock Holmes,"eml[sub[x,1],eml[x,1]]",low_family,10.294479612917323,exp_bregman,xpow_sqrt,xpow_sqrt,xpow_sqrt,0.007308840046137022,0.28071827430008384,0.2586142664456505,0.23278441054829624
jane_eyre,Jane Eyre,"eml[sub[x,1],eml[x,1]]",low_family,16.307585257849095,exp_bregman,xpow_sqrt,xpow_sqrt,xpow_sqrt,0.006748489638460808,0.17862347435877238,0.21948066713823058,0.2192293359429927
dubliners,Dubliners,"eml[sub[x,1],eml[x,1]]",low_family,3.263282326595508,exp_bregman,xpow_sqrt,xpow_sqrt,xpow_sqrt,0.005580690150002204,0.2829864335398028,0.24502666764068184,0.19153618365458677
the_iliad,The Iliad,"sub[sub[x,1],log[x]]",high_family,137.39605844225042,is_bregman,is_bregman,is_bregman,is_bregman,0.005345995313284557,0.13923410704589984,0.10414674505087185,0.0791344554564275
democracy_in_america,Democracy in America,"sub[sub[x,1],log[x]]",high_family,110.90450314378926,is_bregman,is_bregman,is_bregman,is_bregman,0.00681847467065555,0.12978296840426617,0.09867168985703989,0.07507485424992955
origin_of_species,Origin of Species,"sub[sub[x,1],log[x]]",high_family,132.51415058330616,is_bregman,is_bregman,is_bregman,is_bregman,0.007532906083402902,0.11321987195913186,0.0871785091940348,0.06856971659471556
wealth_of_nations,Wealth of Nations,"sub[sub[x,1],log[x]]",high_family,180.40850551892163,is_bregman,is_bregman,is_bregman,is_bregman,0.006978867798022065,0.12164766566638929,0.0928298200647546,0.07371990778112475
les_miserables,Les Miserables,"sub[sub[x,1],log[x]]",high_family,182.47253316947916,is_bregman,is_bregman,is_bregman,is_bregman,0.004674196228913907,0.09838635779526694,0.07296157762728417,0.06418498719305865
