slug,corpus,token_count,vocabulary_size,lambda_mech,test_avg_nll,test_loglike,train_step2_gain,train_step2_expression,heldout_step2_gain,heldout_step2_help,heldout_step2_expression,k,w,alpha_tail,beta_tail,transition_fraction,success,optimizer_message,canonical_source
shakespeare,Complete Works of Shakespeare,988670,24458,0.01,6.881800823831108,-1356698.8598125363,-0.0004587538164613769,"sub[pow[x,x],sqrt[x]]",0.32288127495369134,True,"pow[mul[x,x],eml[1,x]]",100.93449990596228,1.1532726304787502,1.8263437449597508,3.083415549778909,0.4566653159961475,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,0.1,6.881797013594952,-1356698.1086511498,-0.00018735724243781893,"sub[pow[x,x],sqrt[x]]",0.32207112670401294,True,"pow[mul[x,x],eml[1,x]]",101.03044292911106,1.1507056865712753,1.826824596713501,3.079527107375584,0.45675934102358184,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,1.0,6.881815035404264,-1356701.6615247028,-0.00023541822729514217,"sub[pow[x,x],sqrt[x]]",0.32274505694904054,True,"pow[mul[x,x],eml[1,x]]",101.0684697880272,1.1480577190456218,1.82792143114982,3.0753067371170064,0.4567965829819016,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,10.0,6.881838292197187,-1356706.24643863,-0.0004211340341660208,"sub[pow[x,x],sqrt[x]]",0.3239671895343732,True,"pow[mul[x,x],eml[1,x]]",101.04110014862596,1.145763117434522,1.8291527941897734,3.0722256451821046,0.4567697796842978,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,100.0,7.051146399289194,-1390084.1545950696,0.010137306354539355,"sub[div[x,1],sqrt[x]]",0.2931819874657652,True,"pow[mul[x,x],eml[1,x]]",101.75953961674917,1.3602971548439995,1.8262294831785488,28.181972183129222,0.457470958371537,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
war_and_peace,War and Peace,583368,17445,0.01,6.677652213903539,-776163.54977865,-0.0013681660202465307,"eml[sub[x,1],eml[x,1]]",0.3277894660193318,True,"pow[mul[x,x],eml[1,x]]",76.7898410696455,1.145343718815435,1.738783590330294,1.4671328194801818,0.44447194994419925,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
war_and_peace,War and Peace,583368,17445,0.1,6.677625801443172,-776160.4797791443,-0.0013730441595187215,"eml[sub[x,1],eml[x,1]]",0.3261499987241647,True,"pow[mul[x,x],eml[1,x]]",77.02283613765864,1.1436220689877419,1.7409519715014545,1.4758235786610112,0.4447821431338301,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
war_and_peace,War and Peace,583368,17445,1.0,6.677634014991969,-776161.4344645615,-0.0013830488053160894,"eml[sub[x,1],eml[x,1]]",0.3258118930639835,True,"pow[mul[x,x],eml[1,x]]",77.22562341427425,1.1415821296653046,1.7439702043418799,1.4819923300698374,0.4450513570137581,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
war_and_peace,War and Peace,583368,17445,10.0,6.677656993685842,-776164.1053470864,-0.0013903449404388812,"eml[sub[x,1],eml[x,1]]",0.3261225257747058,True,"pow[mul[x,x],eml[1,x]]",77.41560975013623,1.1392254868517966,1.7472641366499262,1.4874671681150804,0.4453029361436893,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
war_and_peace,War and Peace,583368,17445,100.0,6.8362069560294785,-794592.8431201744,0.011760981134191856,"sub[div[x,1],sqrt[x]]",0.2817669984711787,True,"pow[mul[x,x],eml[1,x]]",78.60974823931653,1.3772599794654985,1.7389240255679421,13.195231817116557,0.4468702115494882,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
moby_dick,Moby Dick,219054,16956,0.01,6.946298447717541,-306706.8616605203,0.0028183941360479525,"sub[sqrt[x],pow[x,x]]",0.47829509345309784,True,"pow[mul[x,x],eml[1,x]]",150.63768419573668,3.5721418226379256,1.527752553128939,6.882958523523055,0.5149602951708981,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
moby_dick,Moby Dick,219054,16956,0.1,6.946319595910065,-306707.79543781304,0.0021089733986680848,"sub[sqrt[x],pow[x,x]]",0.4770955084911833,True,"pow[mul[x,x],eml[1,x]]",155.8114243055929,3.5184221259287076,1.5264006571077797,6.8458349665331895,0.5184279105902868,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
moby_dick,Moby Dick,219054,16956,1.0,6.946304544699682,-306707.13086666976,0.0017730257337426059,"sub[sqrt[x],pow[x,x]]",0.47651283627916463,True,"pow[mul[x,x],eml[1,x]]",161.77481613177662,3.496334339400797,1.5253635205656375,6.795445213567815,0.5222847017952971,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
moby_dick,Moby Dick,219054,16956,10.0,6.9461579243210565,-306700.65699047194,0.0006960184925134671,"sub[sqrt[x],pow[x,x]]",0.47441554534770614,True,"pow[mul[x,x],eml[1,x]]",166.29332565086582,3.4991147677904646,1.5251113331346253,6.747897024385327,0.5251135003246691,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
moby_dick,Moby Dick,219054,16956,100.0,6.9869558406070045,-308502.0481861617,0.007410133193680946,"mul[sub[1,x],mul[x,x]]",0.49491243626209935,True,"eml[mul[x,x],eml[1,x]]",566.1495445990068,2.14558664892989,5.9995745694828795,0.001596080137793443,0.6509152639336763,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
king_james_bible,King James Bible,792180,12555,0.01,6.0073298237638335,-952438.1142384608,0.05982420374669617,"eml[neg[x],add[x,x]]",0.21464173636600548,True,"pow[mul[x,x],eml[1,x]]",140.216744210968,1.6895400584360396,4.2730370247541405,12.881280482109712,0.5237608868386505,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
king_james_bible,King James Bible,792180,12555,0.1,6.00747250930924,-952460.7364609428,0.029972906523791032,"eml[neg[x],add[x,x]]",0.24127125752200723,True,"pow[mul[x,x],eml[1,x]]",138.3442987505464,1.6852726552324195,4.278708970701995,12.931541569732135,0.5223364239271524,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
king_james_bible,King James Bible,792180,12555,1.0,6.007686242046982,-952494.6229315808,0.004693244530042939,"eml[neg[x],add[x,x]]",0.26185089346061385,True,"pow[mul[x,x],eml[1,x]]",136.1565635410655,1.6842083479547576,4.290561703548471,13.043349126637175,0.5206474768273941,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
king_james_bible,King James Bible,792180,12555,10.0,6.007715007449986,-952499.1835711654,0.002234996968295294,"div[sub[1,x],eml[1,x]]",0.26391166477275385,True,"pow[mul[x,x],eml[1,x]]",136.15626194331742,1.684091558745913,4.290572727759048,13.045025449116423,0.5206472421259261,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
king_james_bible,King James Bible,792180,12555,100.0,6.007715230808295,-952499.2189837319,0.0022416124162789874,"div[sub[1,x],eml[1,x]]",0.26391288170637994,True,"pow[mul[x,x],eml[1,x]]",136.15583527049196,1.6840024883285476,4.290588868046156,13.044438589347541,0.5206469100909323,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
federalist_papers,Federalist Papers,192302,8617,0.01,6.196436699604738,-238934.59913675868,0.00040277747066699843,"eml[sub[x,1],eml[x,1]]",0.3332983393357257,True,"pow[mul[x,x],eml[1,x]]",112.73743253042488,0.8134189107532729,1.4255594518367474,8.00469662191702,0.5214440806771525,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
federalist_papers,Federalist Papers,192302,8617,0.1,6.207993331239222,-239380.22285258438,0.09633633037465378,"div[mul[x,x],eml[1,x]]",0.42194701008167157,True,"pow[mul[x,x],eml[1,x]]",4999.999422065436,0.4022437838996553,5.999526988726273,0.0015960801377943312,0.9399327193714299,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
federalist_papers,Federalist Papers,192302,8617,1.0,6.202193375616794,-239156.57656378357,0.0023402252267064327,"sub[sqrt[x],pow[x,x]]",0.39031660150885394,True,"pow[mul[x,x],eml[1,x]]",4222.974951730758,0.4568550974749356,1.0022665188158202,0.001631144584691829,0.9212936313299744,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
federalist_papers,Federalist Papers,192302,8617,10.0,6.198613891678437,-239018.55166312054,-0.0018242372110426897,"eml[sub[x,1],eml[x,1]]",0.3629053533192733,True,"pow[mul[x,x],eml[1,x]]",3371.766091892712,0.4177199038227633,1.000673844270055,0.001980932705874086,0.8964518980108772,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
federalist_papers,Federalist Papers,192302,8617,100.0,6.199229425793617,-239042.2866586019,0.00040136048084501996,"sub[sqrt[x],pow[x,x]]",0.3747685887871657,True,"pow[mul[x,x],eml[1,x]]",3313.089862442113,0.4126405669960378,1.0005330178493022,0.0014251332514395752,0.894514532476138,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,0.01,6.073250060002232,-124380.16122884571,-0.0008476800456478917,"eml[sub[x,1],eml[x,1]]",0.3789847038140367,True,"pow[mul[x,x],eml[1,x]]",105.57255816986107,1.2243108154477746,5.932122528069057,25.89426564635623,0.5504272719192704,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,0.1,6.073250306594582,-124380.16627905704,-0.0008434420025887623,"eml[sub[x,1],eml[x,1]]",0.37901918161068504,True,"pow[mul[x,x],eml[1,x]]",105.61121649378303,1.224408848244322,5.933426444489619,25.893957515125617,0.5504705215659491,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,1.0,6.073250602108432,-124380.17233118069,-0.0008308568769282432,"sub[sqrt[x],pow[x,x]]",0.3790618906193024,True,"pow[mul[x,x],eml[1,x]]",105.64789848590966,1.2245165538042195,5.933408940030911,25.89453866091448,0.5505115455229251,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,10.0,6.0732506888218065,-124380.1741070706,-0.000819435939658858,"sub[sqrt[x],pow[x,x]]",0.37908928718440527,True,"pow[mul[x,x],eml[1,x]]",105.67151263352562,1.2242556542140146,5.933402669647901,25.892762293740383,0.5505379472884793,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,100.0,6.073247978878372,-124380.11860742906,-0.000842039910402409,"eml[sub[x,1],eml[x,1]]",0.3790018671392825,True,"pow[mul[x,x],eml[1,x]]",105.68031555906558,1.2244418675976905,5.933605804980413,25.895004625009594,0.550547787877767,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
don_quixote,Don Quixote,433304,15574,0.01,6.494384302821047,-563277.4337365779,-0.0003832101921354414,"eml[sub[x,1],eml[x,1]]",0.3741872531358913,True,"pow[mul[x,x],eml[1,x]]",70.26854857096068,1.1263052223803105,1.7732249993734701,1.9035578939871203,0.44050207710011696,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
don_quixote,Don Quixote,433304,15574,0.1,6.494369246986996,-563276.1278989231,-0.0004195451162988528,"eml[sub[x,1],eml[x,1]]",0.3731814796666767,True,"pow[mul[x,x],eml[1,x]]",70.29175718005985,1.1228791975048356,1.7725965336901526,1.8985193166819996,0.4405362859128464,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
don_quixote,Don Quixote,433304,15574,1.0,6.49439763987248,-563278.5904990598,-0.0004718743891027888,"eml[sub[x,1],eml[x,1]]",0.37350868553830274,True,"pow[mul[x,x],eml[1,x]]",70.32814393712637,1.1193421067784035,1.7734918118306808,1.8920184380342642,0.4405898962020107,True,Optimization terminated successfully.,results/zipf_hybrid_mechpenalty/summary.json
