slug,corpus,winner_expr,winner_rmse,euclidean_rmse,is_bregman_rmse,exp_bregman_rmse,gap_vs_euclidean,gap_vs_is_bregman,gap_vs_exp_bregman,winner_is_euclidean,max_gap_to_core_bregman_family,core_family_gap_below_0p01
aesops_fables,Aesop's Fables,"eml[sub[x,1],eml[x,1]]",0.16922954056178502,0.17799936962132182,0.1771438910999912,0.16922954056178502,0.008769829059536799,0.007914350538206189,0.0,False,0.007914350538206189,True
arabian_nights_vol1,Arabian Nights (Vol 1),"eml[sub[x,1],eml[x,1]]",0.18278688989650455,0.18732452301832536,0.18624953256722684,0.18278688989650455,0.004537633121820817,0.003462642670722299,0.0,False,0.003462642670722299,True
canterbury_tales,Canterbury Tales,"eml[sub[x,1],eml[x,1]]",0.1678242283162659,0.17305074658405198,0.17093623968880178,0.1678242283162659,0.005226518267786084,0.003112011372535889,0.0,False,0.003112011372535889,True
collected_poe,Collected Poe,"eml[sub[x,1],eml[x,1]]",0.17464893963749728,0.18172637023290453,0.17929969444976834,0.17464893963749728,0.007077430595407247,0.004650754812271063,0.0,False,0.004650754812271063,True
complete_sherlock_holmes,Complete Sherlock Holmes,"eml[sub[x,1],eml[x,1]]",0.1692196987389226,0.1765285387850596,0.17451384855568502,0.1692196987389226,0.007308840046137022,0.0052941498167624335,0.0,False,0.0052941498167624335,True
shakespeare,Complete Works of Shakespeare,"sub[sub[x,1],log[x]]",0.18285154352815539,0.18705984191927655,0.18285154352815539,0.18461777340942814,0.0042082983911211624,0.0,0.0017662298812727573,False,0.0017662298812727573,True
critique_of_pure_reason,Critique of Pure Reason,"eml[sub[x,1],eml[x,1]]",0.17647312549496663,0.18201439089620247,0.17708956325481962,0.1764731254949666,0.00554126540123584,0.0006164377598529835,-2.7755575615628914e-17,False,0.0006164377598529835,True
decline_and_fall_vol1,Decline and Fall Vol 1,"sub[sub[x,1],log[x]]",0.2058860211560133,0.21103785977955958,0.2058860211560133,0.20932438344350124,0.00515183862354629,0.0,0.0034383622874879505,False,0.0034383622874879505,True
democracy_in_america,Democracy in America,"sub[sub[x,1],log[x]]",0.1894135889625467,0.19623206363320225,0.1894135889625467,0.19273164051225666,0.00681847467065555,0.0,0.0033180515497099605,False,0.0033180515497099605,True
don_quixote,Don Quixote,"eml[sub[x,1],eml[x,1]]",0.1763356841530791,0.18147045795407055,0.17692787402335688,0.1763356841530791,0.005134773800991449,0.0005921898702777872,0.0,False,0.0005921898702777872,True
dubliners,Dubliners,"eml[sub[x,1],eml[x,1]]",0.17518979953881125,0.18077048968881346,0.18084229963650614,0.17518979953881125,0.005580690150002204,0.005652500097694885,0.0,False,0.005652500097694885,True
emile,Emile,"eml[sub[x,1],eml[x,1]]",0.18033837337902978,0.185927068237907,0.181539251240389,0.18033837337902978,0.0055886948588772245,0.001200877861359223,0.0,False,0.001200877861359223,True
federalist_papers,Federalist Papers,"sub[sub[x,1],log[x]]",0.1916277812723682,0.19870611998493082,0.1916277812723682,0.195160110344618,0.00707833871256261,0.0,0.00353232907224979,False,0.00353232907224979,True
grimms_fairy_tales,Grimm's Fairy Tales,"eml[sub[x,1],eml[x,1]]",0.16550485072433857,0.17299875265967107,0.16733516871434567,0.16550485072433857,0.007493901935332503,0.001830317990007102,0.0,False,0.001830317990007102,True
jane_eyre,Jane Eyre,"eml[sub[x,1],eml[x,1]]",0.16333010797099165,0.17007859760945246,0.16707255792195488,0.16333010797099165,0.006748489638460808,0.0037424499509632336,0.0,False,0.0037424499509632336,True
king_james_bible,King James Bible,"sub[sub[x,1],log[x]]",0.1854896711109791,0.1914413534612705,0.1854896711109791,0.18845643682086718,0.005951682350291393,0.0,0.002966765709888075,False,0.002966765709888075,True
les_miserables,Les Miserables,"sub[sub[x,1],log[x]]",0.1868492241461159,0.1915234203750298,0.1868492241461159,0.18880587501084395,0.004674196228913907,0.0,0.0019566508647280434,False,0.0019566508647280434,True
moby_dick,Moby Dick,"eml[sub[x,1],eml[x,1]]",0.16334575772525425,0.1693320314540938,0.1668446074380373,0.16334575772525425,0.0059862737288395584,0.003498849712783053,0.0,False,0.003498849712783053,True
origin_of_species,Origin of Species,"sub[sub[x,1],log[x]]",0.17636580852673006,0.18389871461013296,0.17636580852673006,0.18042756320488335,0.007532906083402902,0.0,0.004061754678153284,False,0.004061754678153284,True
pride_and_prejudice,Pride and Prejudice,"eml[sub[x,1],eml[x,1]]",0.16783926418160022,0.1751643958019783,0.17136127135128554,0.16783926418160022,0.007325131620378067,0.003522007169685315,0.0,False,0.003522007169685315,True
principia_ethica,Principia Ethica,"sub[sub[x,1],log[x]]",0.18433252648149676,0.19100413579783837,0.18433252648149676,0.18570469317744617,0.006671609316341615,0.0,0.0013721666959494172,False,0.0013721666959494172,True
the_iliad,The Iliad,"sub[sub[x,1],log[x]]",0.18039390059445717,0.18573989590774173,0.18039390059445717,0.18248795135804466,0.005345995313284557,0.0,0.002094050763587485,False,0.002094050763587485,True
ulysses,Ulysses,"eml[sub[x,1],eml[x,1]]",0.1830188859516618,0.18493789288633808,0.1847061265396885,0.1830188859516618,0.0019190069346762817,0.0016872405880266894,0.0,False,0.0016872405880266894,True
war_and_peace,War and Peace,"sub[sub[x,1],log[x]]",0.18043682215068654,0.18584620267502414,0.18043682215068654,0.1831808749702038,0.0054093805243375925,0.0,0.0027440528195172564,False,0.0027440528195172564,True
wealth_of_nations,Wealth of Nations,"sub[sub[x,1],log[x]]",0.17689004675116576,0.18386891454918783,0.17689004675116576,0.18113788155497706,0.006978867798022065,0.0,0.004247834803811301,False,0.004247834803811301,True
