corpus,beam_rank,field,new_value,historical_value,abs_diff,matches
Aesop's Fables,1,rmse,0.16922954056178502,0.16922954056178502,0.0,True
Aesop's Fables,1,expression,"eml[sub[x,1],eml[x,1]]","eml[sub[x,1],eml[x,1]]",,True
Aesop's Fables,1,expression_display,exp(x - 1) - x,exp(x - 1) - x,,True
Aesop's Fables,1,winner_family,exp,exp,,True
Aesop's Fables,1,uses_new_operator,False,False,,True
Aesop's Fables,2,rmse,0.17159871401499432,0.17159871401499432,0.0,True
Aesop's Fables,2,expression,"sub[pow[x,x],sqrt[x]]","sub[pow[x,x],sqrt[x]]",,True
Aesop's Fables,2,expression_display,x^x - sqrt(x),x^x - sqrt(x),,True
Aesop's Fables,2,winner_family,xpow,xpow,,True
Aesop's Fables,2,uses_new_operator,False,False,,True
Aesop's Fables,3,rmse,0.17239960126205842,0.17239960126205842,0.0,True
Aesop's Fables,3,expression,"sub[sqrt[x],pow[x,x]]","sub[sqrt[x],pow[x,x]]",,True
Aesop's Fables,3,expression_display,"(sqrt(x)-pow(x,x))","(sqrt(x)-pow(x,x))",,True
Aesop's Fables,3,winner_family,other,other,,True
Aesop's Fables,3,uses_new_operator,False,False,,True
Aesop's Fables,4,rmse,0.17479457575179103,0.17479457575179103,0.0,True
Aesop's Fables,4,expression,"add[neg[x],pow[x,x]]","add[neg[x],pow[x,x]]",,True
Aesop's Fables,4,expression_display,"((-x)+pow(x,x))","((-x)+pow(x,x))",,True
Aesop's Fables,4,winner_family,other,other,,True
Aesop's Fables,4,uses_new_operator,False,False,,True
Aesop's Fables,5,rmse,0.1749392242361762,0.1749392242361762,0.0,True
Aesop's Fables,5,expression,"div[sub[x,1],eml[1,x]]","div[sub[x,1],eml[1,x]]",,True
Aesop's Fables,5,expression_display,"((x-1)/EML(1,x))","((x-1)/EML(1,x))",,True
Aesop's Fables,5,winner_family,other,other,,True
Aesop's Fables,5,uses_new_operator,False,False,,True
Aesop's Fables,6,rmse,0.17497160606504875,0.17497160606504875,0.0,True
Aesop's Fables,6,expression,"div[sub[1,x],eml[1,x]]","div[sub[1,x],eml[1,x]]",,True
Aesop's Fables,6,expression_display,"((1-x)/EML(1,x))","((1-x)/EML(1,x))",,True
Aesop's Fables,6,winner_family,other,other,,True
Aesop's Fables,6,uses_new_operator,False,False,,True
Aesop's Fables,7,rmse,0.17549567485117257,0.17549567485117257,0.0,True
Aesop's Fables,7,expression,"sub[div[x,1],pow[x,x]]","sub[div[x,1],pow[x,x]]",,True
Aesop's Fables,7,expression_display,"((x/1)-pow(x,x))","((x/1)-pow(x,x))",,True
Aesop's Fables,7,winner_family,other,other,,True
Aesop's Fables,7,uses_new_operator,False,False,,True
Aesop's Fables,8,rmse,0.1771438910999912,0.1771438910999912,0.0,True
Aesop's Fables,8,expression,"sub[sub[x,1],log[x]]","sub[sub[x,1],log[x]]",,True
Aesop's Fables,8,expression_display,(x - 1) - log(x),(x - 1) - log(x),,True
Aesop's Fables,8,winner_family,is,is,,True
Aesop's Fables,8,uses_new_operator,False,False,,True
Aesop's Fables,9,rmse,0.17799936962132182,0.17799936962132182,0.0,True
Aesop's Fables,9,expression,"mul[sub[1,x],sub[1,x]]","mul[sub[1,x],sub[1,x]]",,True
Aesop's Fables,9,expression_display,(1 - x)^2,(1 - x)^2,,True
Aesop's Fables,9,winner_family,euclidean,euclidean,,True
Aesop's Fables,9,uses_new_operator,False,False,,True
Aesop's Fables,10,rmse,0.17832557710186317,0.17832557710186317,0.0,True
Aesop's Fables,10,expression,"mul[sub[1,x],sub[x,1]]","mul[sub[1,x],sub[x,1]]",,True
Aesop's Fables,10,expression_display,((1-x)*(x-1)),((1-x)*(x-1)),,True
Aesop's Fables,10,winner_family,other,other,,True
Aesop's Fables,10,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),1,rmse,0.18278688989650455,0.18278688989650455,0.0,True
Arabian Nights (Vol 1),1,expression,"eml[sub[x,1],eml[x,1]]","eml[sub[x,1],eml[x,1]]",,True
Arabian Nights (Vol 1),1,expression_display,exp(x - 1) - x,exp(x - 1) - x,,True
Arabian Nights (Vol 1),1,winner_family,exp,exp,,True
Arabian Nights (Vol 1),1,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),2,rmse,0.1845699635740453,0.1845699635740453,0.0,True
Arabian Nights (Vol 1),2,expression,"sub[pow[x,x],sqrt[x]]","sub[pow[x,x],sqrt[x]]",,True
Arabian Nights (Vol 1),2,expression_display,x^x - sqrt(x),x^x - sqrt(x),,True
Arabian Nights (Vol 1),2,winner_family,xpow,xpow,,True
Arabian Nights (Vol 1),2,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),3,rmse,0.1855988570468531,0.1855988570468531,0.0,True
Arabian Nights (Vol 1),3,expression,"add[neg[x],pow[x,x]]","add[neg[x],pow[x,x]]",,True
Arabian Nights (Vol 1),3,expression_display,"((-x)+pow(x,x))","((-x)+pow(x,x))",,True
Arabian Nights (Vol 1),3,winner_family,other,other,,True
Arabian Nights (Vol 1),3,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),4,rmse,0.18624953256722684,0.18624953256722684,0.0,True
Arabian Nights (Vol 1),4,expression,"sub[sub[x,1],log[x]]","sub[sub[x,1],log[x]]",,True
Arabian Nights (Vol 1),4,expression_display,(x - 1) - log(x),(x - 1) - log(x),,True
Arabian Nights (Vol 1),4,winner_family,is,is,,True
Arabian Nights (Vol 1),4,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),5,rmse,0.18694417702938554,0.18694417702938554,0.0,True
Arabian Nights (Vol 1),5,expression,"sub[sqrt[x],pow[x,x]]","sub[sqrt[x],pow[x,x]]",,True
Arabian Nights (Vol 1),5,expression_display,"(sqrt(x)-pow(x,x))","(sqrt(x)-pow(x,x))",,True
Arabian Nights (Vol 1),5,winner_family,other,other,,True
Arabian Nights (Vol 1),5,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),6,rmse,0.18732452301832536,0.18732452301832536,0.0,True
Arabian Nights (Vol 1),6,expression,"mul[sub[1,x],sub[1,x]]","mul[sub[1,x],sub[1,x]]",,True
Arabian Nights (Vol 1),6,expression_display,(1 - x)^2,(1 - x)^2,,True
Arabian Nights (Vol 1),6,winner_family,euclidean,euclidean,,True
Arabian Nights (Vol 1),6,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),7,rmse,0.1876760491256233,0.1876760491256233,0.0,True
Arabian Nights (Vol 1),7,expression,"div[sub[x,1],eml[1,x]]","div[sub[x,1],eml[1,x]]",,True
Arabian Nights (Vol 1),7,expression_display,"((x-1)/EML(1,x))","((x-1)/EML(1,x))",,True
Arabian Nights (Vol 1),7,winner_family,other,other,,True
Arabian Nights (Vol 1),7,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),8,rmse,0.1876928741790554,0.1876928741790554,0.0,True
Arabian Nights (Vol 1),8,expression,"sub[div[x,1],pow[x,x]]","sub[div[x,1],pow[x,x]]",,True
Arabian Nights (Vol 1),8,expression_display,"((x/1)-pow(x,x))","((x/1)-pow(x,x))",,True
Arabian Nights (Vol 1),8,winner_family,other,other,,True
Arabian Nights (Vol 1),8,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),9,rmse,0.18791596991191123,0.18791596991191123,0.0,True
Arabian Nights (Vol 1),9,expression,"add[sub[1,x],log[x]]","add[sub[1,x],log[x]]",,True
Arabian Nights (Vol 1),9,expression_display,((1-x)+log(x)),((1-x)+log(x)),,True
Arabian Nights (Vol 1),9,winner_family,other,other,,True
Arabian Nights (Vol 1),9,uses_new_operator,False,False,,True
Arabian Nights (Vol 1),10,rmse,0.18793885188049106,0.18793885188049106,0.0,True
Arabian Nights (Vol 1),10,expression,"div[sub[1,x],eml[1,x]]","div[sub[1,x],eml[1,x]]",,True
Arabian Nights (Vol 1),10,expression_display,"((1-x)/EML(1,x))","((1-x)/EML(1,x))",,True
Arabian Nights (Vol 1),10,winner_family,other,other,,True
Arabian Nights (Vol 1),10,uses_new_operator,False,False,,True
Canterbury Tales,1,rmse,0.1678242283162659,0.1678242283162659,0.0,True
Canterbury Tales,1,expression,"eml[sub[x,1],eml[x,1]]","eml[sub[x,1],eml[x,1]]",,True
Canterbury Tales,1,expression_display,exp(x - 1) - x,exp(x - 1) - x,,True
Canterbury Tales,1,winner_family,exp,exp,,True
Canterbury Tales,1,uses_new_operator,False,False,,True
Canterbury Tales,2,rmse,0.17016778812525912,0.17016778812525912,0.0,True
Canterbury Tales,2,expression,"sub[sqrt[x],pow[x,x]]","sub[sqrt[x],pow[x,x]]",,True
Canterbury Tales,2,expression_display,"(sqrt(x)-pow(x,x))","(sqrt(x)-pow(x,x))",,True
Canterbury Tales,2,winner_family,other,other,,True
Canterbury Tales,2,uses_new_operator,False,False,,True
Canterbury Tales,3,rmse,0.17057069256526533,0.17057069256526533,0.0,True
Canterbury Tales,3,expression,"sub[pow[x,x],sqrt[x]]","sub[pow[x,x],sqrt[x]]",,True
Canterbury Tales,3,expression_display,x^x - sqrt(x),x^x - sqrt(x),,True
Canterbury Tales,3,winner_family,xpow,xpow,,True
Canterbury Tales,3,uses_new_operator,False,False,,True
