slug,corpus,family,single_zm_c,local_signs,empirical_signs_head10,empirical_signs_head50,smooth_signs_head50,seam_signs_head50,projected_signs_head50,second_order_signs_head50,quadratic_surrogate_signs_head50,match_local_vs_emp10,match_local_vs_emp50,match_local_vs_emp10_all_terms,match_local_vs_emp50_all_terms,match_smooth_vs_emp50,match_smooth_vs_emp50_all_terms,match_projected_vs_emp50,match_projected_vs_emp50_all_terms,match_projected_vs_smooth50,match_projected_vs_smooth50_all_terms,match_second_order_vs_emp50,match_second_order_vs_emp50_all_terms,match_second_order_vs_smooth50,match_second_order_vs_smooth50_all_terms,match_quadratic_surrogate_vs_emp50,match_quadratic_surrogate_vs_emp50_all_terms,match_quadratic_surrogate_vs_smooth50,match_quadratic_surrogate_vs_smooth50_all_terms,source_model
aesops_fables,Aesop's Fables,low_family,3.68769267556447,"[-1,-1,-1]","[-1,-1,1]","[-1,1,-1]","[-1,1,-1]","[-1,1,-1]","[-1,1,-1]","[-1,1,1]","[1,-1,1]","[true,true,false]","[true,false,true]",False,False,"[true,true,true]",True,"[true,true,true]",True,"[true,true,true]",True,"[true,true,false]",False,"[true,true,false]",False,"[false,false,false]",False,"[false,false,false]",False,legacy_coupled_logistic
arabian_nights_vol1,Arabian Nights (Vol 1),low_family,6.42540318643635,"[-1,-1,1]","[1,-1,1]","[-1,1,1]","[-1,1,-1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[false,true,true]","[true,false,true]",False,False,"[true,true,false]",False,"[true,false,true]",False,"[true,false,false]",False,"[true,false,true]",False,"[true,false,false]",False,"[true,false,true]",False,"[true,false,false]",False,legacy_coupled_logistic
canterbury_tales,Canterbury Tales,low_family,15.250535352832612,"[-1,-1,1]","[1,-1,1]","[1,-1,1]","[-1,1,-1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[false,true,true]","[false,true,true]",False,False,"[false,false,false]",False,"[false,true,true]",False,"[true,false,false]",False,"[false,true,true]",False,"[true,false,false]",False,"[false,true,true]",False,"[true,false,false]",False,legacy_coupled_logistic
collected_poe,Collected Poe,low_family,6.957528471368607,"[-1,-1,1]","[-1,1,-1]","[-1,1,-1]","[-1,-1,-1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[true,false,false]","[true,false,false]",False,False,"[true,false,true]",False,"[true,false,false]",False,"[true,true,false]",False,"[true,false,false]",False,"[true,true,false]",False,"[true,false,false]",False,"[true,true,false]",False,legacy_coupled_logistic
complete_sherlock_holmes,Complete Sherlock Holmes,low_family,10.294479612917323,"[-1,-1,-1]","[-1,1,-1]","[-1,-1,1]","[-1,1,-1]","[1,-1,1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[true,false,true]","[true,true,false]",False,False,"[true,false,false]",False,"[true,true,true]",True,"[true,false,false]",False,"[true,true,true]",True,"[true,false,false]",False,"[true,true,true]",True,"[true,false,false]",False,legacy_coupled_logistic
critique_of_pure_reason,Critique of Pure Reason,low_family,57.9583035946641,"[-1,-1,-1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[-1,1,-1]","[-1,1,-1]","[1,-1,1]","[1,-1,1]","[true,true,false]","[true,true,false]",False,False,"[true,true,true]",True,"[true,false,false]",False,"[true,false,false]",False,"[false,true,true]",False,"[false,true,true]",False,"[false,true,true]",False,"[false,true,true]",False,legacy_coupled_logistic
decline_and_fall_vol1,Decline and Fall Vol 1,high_family,211.07196916272378,"[-1,-1,-1]","[-1,-1,1]","[-1,1,-1]","[-1,-1,1]","[1,-1,1]","[1,-1,1]","[1,-1,1]","[-1,1,-1]","[true,true,false]","[true,false,true]",False,False,"[true,false,false]",False,"[false,false,false]",False,"[false,true,true]",False,"[false,false,false]",False,"[false,true,true]",False,"[true,true,true]",True,"[true,false,false]",False,legacy_coupled_logistic
democracy_in_america,Democracy in America,high_family,110.90450314378926,"[-1,-1,-1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[1,-1,1]","[-1,-1,1]","[-1,-1,1]","[-1,1,-1]","[true,true,false]","[true,true,false]",False,False,"[true,true,true]",True,"[true,true,true]",True,"[true,true,true]",True,"[true,true,true]",True,"[true,true,true]",True,"[true,false,false]",False,"[true,false,false]",False,legacy_coupled_logistic
don_quixote,Don Quixote,low_family,65.66394188576379,"[-1,-1,-1]","[1,-1,1]","[-1,-1,1]","[-1,-1,-1]","[1,-1,1]","[-1,-1,-1]","[-1,-1,-1]","[-1,-1,-1]","[false,true,false]","[true,true,false]",False,False,"[true,true,false]",False,"[true,true,false]",False,"[true,true,true]",True,"[true,true,false]",False,"[true,true,true]",True,"[true,true,false]",False,"[true,true,true]",True,legacy_coupled_logistic
dubliners,Dubliners,low_family,3.263282326595508,"[-1,-1,-1]","[-1,1,-1]","[-1,1,-1]","[-1,1,1]","[-1,1,-1]","[-1,1,-1]","[-1,1,1]","[1,-1,1]","[true,false,true]","[true,false,true]",False,False,"[true,true,false]",False,"[true,true,true]",True,"[true,true,false]",False,"[true,true,false]",False,"[true,true,true]",True,"[false,false,false]",False,"[false,false,true]",False,legacy_coupled_logistic
emile,Emile,low_family,51.48067915381241,"[-1,-1,-1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,-1]","[1,-1,1]","[-1,-1,-1]","[-1,-1,-1]","[-1,-1,-1]","[true,true,false]","[true,true,false]",False,False,"[true,true,false]",False,"[true,true,false]",False,"[true,true,true]",True,"[true,true,false]",False,"[true,true,true]",True,"[true,true,false]",False,"[true,true,true]",True,legacy_coupled_logistic
federalist_papers,Federalist Papers,high_family,109.04140681413556,"[-1,-1,-1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[1,-1,1]","[-1,-1,1]","[-1,-1,1]","[-1,1,-1]","[true,true,false]","[true,true,false]",False,False,"[true,true,true]",True,"[true,true,true]",True,"[true,true,true]",True,"[true,true,true]",True,"[true,true,true]",True,"[true,false,false]",False,"[true,false,false]",False,legacy_coupled_logistic
grimms_fairy_tales,Grimm's Fairy Tales,low_family,45.98251274197185,"[-1,-1,-1]","[1,-1,1]","[-1,1,-1]","[-1,-1,1]","[-1,1,-1]","[-1,1,-1]","[1,-1,1]","[1,-1,1]","[false,true,false]","[true,false,true]",False,False,"[true,false,false]",False,"[true,true,true]",True,"[true,false,false]",False,"[false,false,false]",False,"[false,true,true]",False,"[false,false,false]",False,"[false,true,true]",False,legacy_coupled_logistic
jane_eyre,Jane Eyre,low_family,16.307585257849095,"[-1,-1,-1]","[1,-1,1]","[1,-1,1]","[-1,-1,-1]","[1,-1,1]","[-1,-1,1]","[-1,-1,1]","[-1,-1,1]","[false,true,false]","[false,true,false]",False,False,"[false,true,false]",False,"[false,true,true]",False,"[true,true,false]",False,"[false,true,true]",False,"[true,true,false]",False,"[false,true,true]",False,"[true,true,false]",False,legacy_coupled_logistic
king_james_bible,King James Bible,high_family,171.38167664978175,"[-1,-1,-1]","[1,-1,1]","[-1,1,-1]","[-1,-1,-1]","[1,-1,1]","[-1,-1,-1]","[-1,-1,-1]","[-1,1,-1]","[false,true,false]","[true,false,true]",False,False,"[true,false,true]",False,"[true,false,true]",False,"[true,true,true]",True,"[true,false,true]",False,"[true,true,true]",True,"[true,true,true]",True,"[true,false,true]",False,legacy_coupled_logistic
les_miserables,Les Miserables,high_family,182.47253316947916,"[-1,-1,-1]","[-1,1,-1]","[-1,1,-1]","[-1,-1,-1]","[1,-1,1]","[-1,-1,-1]","[-1,-1,-1]","[-1,1,-1]","[true,false,true]","[true,false,true]",False,False,"[true,false,true]",False,"[true,false,true]",False,"[true,true,true]",True,"[true,false,true]",False,"[true,true,true]",True,"[true,true,true]",True,"[true,false,true]",False,legacy_coupled_logistic
