corpus,field,new_value,historical_value,abs_diff,matches
Complete Works of Shakespeare,tokens,988670.0,988670.0,0.0,True
Complete Works of Shakespeare,vocabulary_size,24458.0,24458.0,0.0,True
Complete Works of Shakespeare,zm_a,17.169686773929307,17.169686773929307,0.0,True
Complete Works of Shakespeare,zm_b,1.7243760149010987,1.7243760149010987,0.0,True
Complete Works of Shakespeare,zm_c,244.84484777363113,244.84484777363113,0.0,True
Complete Works of Shakespeare,zm_rmse,0.18443042500644333,0.18443042500644333,0.0,True
Complete Works of Shakespeare,step2_rmse,0.18285154352815539,0.18285154352815539,0.0,True
Complete Works of Shakespeare,rmse_improvement_absolute,0.0015788814782879412,0.0015788814782879412,0.0,True
Complete Works of Shakespeare,rmse_improvement_pct,0.8560851487669568,0.8560851487669568,0.0,True
Complete Works of Shakespeare,runner_up_rmse,0.18461777340942814,0.18461777340942814,0.0,True
Complete Works of Shakespeare,winner_minus_runner_rmse,0.0017662298812727573,0.0017662298812727573,0.0,True
Complete Works of Shakespeare,step2_winner_expression,"sub[sub[x,1],log[x]]","sub[sub[x,1],log[x]]",,True
Complete Works of Shakespeare,step2_winner_display,(x - 1) - log(x),(x - 1) - log(x),,True
Complete Works of Shakespeare,runner_up_expression,"eml[sub[x,1],eml[x,1]]","eml[sub[x,1],eml[x,1]]",,True
Complete Works of Shakespeare,winner_family,is,is,,True
Complete Works of Shakespeare,contains_is_in_step2_beam,True,True,,True
Complete Works of Shakespeare,contains_exp_in_step2_beam,True,True,,True
War and Peace,tokens,583368.0,583368.0,0.0,True
War and Peace,vocabulary_size,17445.0,17445.0,0.0,True
War and Peace,zm_a,16.23161345841648,16.23161345841648,0.0,True
War and Peace,zm_b,1.6808536990412744,1.6808536990412744,0.0,True
War and Peace,zm_c,209.1315494553841,209.1315494553841,0.0,True
War and Peace,zm_rmse,0.182982301215073,0.182982301215073,0.0,True
War and Peace,step2_rmse,0.18043682215068654,0.18043682215068654,0.0,True
War and Peace,rmse_improvement_absolute,0.0025454790643864578,0.0025454790643864578,0.0,True
War and Peace,rmse_improvement_pct,1.3911067067598866,1.3911067067598866,0.0,True
War and Peace,runner_up_rmse,0.1831808749702038,0.1831808749702038,0.0,True
War and Peace,winner_minus_runner_rmse,0.0027440528195172564,0.0027440528195172564,0.0,True
War and Peace,step2_winner_expression,"sub[sub[x,1],log[x]]","sub[sub[x,1],log[x]]",,True
War and Peace,step2_winner_display,(x - 1) - log(x),(x - 1) - log(x),,True
War and Peace,runner_up_expression,"eml[sub[x,1],eml[x,1]]","eml[sub[x,1],eml[x,1]]",,True
War and Peace,winner_family,is,is,,True
War and Peace,contains_is_in_step2_beam,True,True,,True
War and Peace,contains_exp_in_step2_beam,True,True,,True
Moby Dick,tokens,219054.0,219054.0,0.0,True
Moby Dick,vocabulary_size,16956.0,16956.0,0.0,True
Moby Dick,zm_a,11.279174906124378,11.279174906124378,0.0,True
Moby Dick,zm_b,1.1821698837630732,1.1821698837630732,0.0,True
Moby Dick,zm_c,10.497932011426359,10.497932011426359,0.0,True
Moby Dick,zm_rmse,0.16154871217642858,0.16154871217642858,0.0,True
Moby Dick,step2_rmse,0.16334575772525425,0.16334575772525425,0.0,True
Moby Dick,rmse_improvement_absolute,-0.0017970455488256765,-0.0017970455488256765,0.0,True
Moby Dick,rmse_improvement_pct,-1.1123861803758048,-1.1123861803758048,0.0,True
Moby Dick,runner_up_rmse,0.1643352350610081,0.1643352350610081,0.0,True
Moby Dick,winner_minus_runner_rmse,0.0009894773357538578,0.0009894773357538578,0.0,True
Moby Dick,step2_winner_expression,"eml[sub[x,1],eml[x,1]]","eml[sub[x,1],eml[x,1]]",,True
Moby Dick,step2_winner_display,exp(x - 1) - x,exp(x - 1) - x,,True
Moby Dick,runner_up_expression,"sub[sqrt[x],pow[x,x]]","sub[sqrt[x],pow[x,x]]",,True
Moby Dick,winner_family,exp,exp,,True
Moby Dick,contains_is_in_step2_beam,True,True,,True
Moby Dick,contains_exp_in_step2_beam,True,True,,True
King James Bible,tokens,792180.0,792180.0,0.0,True
King James Bible,vocabulary_size,12555.0,12555.0,0.0,True
King James Bible,zm_a,17.70152813420587,17.70152813420587,0.0,True
King James Bible,zm_b,1.8964020832729536,1.8964020832729536,0.0,True
King James Bible,zm_c,171.38167664978175,171.38167664978175,0.0,True
King James Bible,zm_rmse,0.18823043086752944,0.18823043086752944,0.0,True
King James Bible,step2_rmse,0.1854896711109791,0.1854896711109791,0.0,True
King James Bible,rmse_improvement_absolute,0.0027407597565503317,0.0027407597565503317,0.0,True
King James Bible,rmse_improvement_pct,1.4560662396183914,1.4560662396183914,0.0,True
King James Bible,runner_up_rmse,0.18845643682086718,0.18845643682086718,0.0,True
King James Bible,winner_minus_runner_rmse,0.002966765709888075,0.002966765709888075,0.0,True
King James Bible,step2_winner_expression,"sub[sub[x,1],log[x]]","sub[sub[x,1],log[x]]",,True
King James Bible,step2_winner_display,(x - 1) - log(x),(x - 1) - log(x),,True
King James Bible,runner_up_expression,"eml[sub[x,1],eml[x,1]]","eml[sub[x,1],eml[x,1]]",,True
King James Bible,winner_family,is,is,,True
King James Bible,contains_is_in_step2_beam,True,True,,True
King James Bible,contains_exp_in_step2_beam,True,True,,True
Federalist Papers,tokens,192302.0,192302.0,0.0,True
Federalist Papers,vocabulary_size,8617.0,8617.0,0.0,True
Federalist Papers,zm_a,13.924521943896071,13.924521943896071,0.0,True
Federalist Papers,zm_b,1.554698599462922,1.554698599462922,0.0,True
Federalist Papers,zm_c,109.04140681413556,109.04140681413556,0.0,True
Federalist Papers,zm_rmse,0.19477513427832338,0.19477513427832338,0.0,True
Federalist Papers,step2_rmse,0.1916277812723682,0.1916277812723682,0.0,True
Federalist Papers,rmse_improvement_absolute,0.0031473530059551724,0.0031473530059551724,0.0,True
Federalist Papers,rmse_improvement_pct,1.6158905589343715,1.6158905589343715,0.0,True
Federalist Papers,runner_up_rmse,0.195160110344618,0.195160110344618,0.0,True
Federalist Papers,winner_minus_runner_rmse,0.00353232907224979,0.00353232907224979,0.0,True
Federalist Papers,step2_winner_expression,"sub[sub[x,1],log[x]]","sub[sub[x,1],log[x]]",,True
Federalist Papers,step2_winner_display,(x - 1) - log(x),(x - 1) - log(x),,True
Federalist Papers,runner_up_expression,"eml[sub[x,1],eml[x,1]]","eml[sub[x,1],eml[x,1]]",,True
Federalist Papers,winner_family,is,is,,True
Federalist Papers,contains_is_in_step2_beam,True,True,,True
Federalist Papers,contains_exp_in_step2_beam,True,True,,True
Grimm's Fairy Tales,tokens,102114.0,102114.0,0.0,True
Grimm's Fairy Tales,vocabulary_size,4746.0,4746.0,0.0,True
Grimm's Fairy Tales,zm_a,13.151959035818965,13.151959035818965,0.0,True
Grimm's Fairy Tales,zm_b,1.5802738767595035,1.5802738767595035,0.0,True
Grimm's Fairy Tales,zm_c,45.98251274197185,45.98251274197185,0.0,True
