slug,corpus,zm_c,vocab_size,k,w,top1_expr,top1_math,top1_symbolic_family,top1_rmse,sigma_winner_cosine,sigma_winner_abs_cosine
aesops_fables,Aesop's Fables,3.68769267556447,4394,250.79909890687756,0.17154462251525357,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),sigmoid-family,0.16817471630002356,0.5817523136933942,0.5817523136933942
arabian_nights_vol1,Arabian Nights (Vol 1),6.42540318643635,13883,89.74620451986972,1.5827304063287007,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",bregman-family,0.18278688989650455,0.9193793021546632,0.9193793021546632
canterbury_tales,Canterbury Tales,15.250535352832612,17653,134.2119523589147,1.4897003175201895,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),sigmoid-family,0.1671471869143485,0.921215309229974,0.921215309229974
collected_poe,Collected Poe,6.957528471368607,9312,68.81349123711598,1.4761171457973563,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),sigmoid-family,0.1731537226006591,0.9085771731882678,0.9085771731882678
complete_sherlock_holmes,Complete Sherlock Holmes,10.294479612917323,7817,73.8917370296407,1.1792200966776498,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),sigmoid-family,0.16802673417015204,0.8281953893025794,0.8281953893025794
critique_of_pure_reason,Critique of Pure Reason,57.9583035946641,6537,421.9794201244541,0.1692810476403111,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),sigmoid-family,0.17641460727521532,-0.620902073726308,0.620902073726308
don_quixote,Don Quixote,65.66394188576379,15574,164.02003328006995,1.2036752381655762,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),sigmoid-family,0.17539345315994231,0.8630888148905591,0.8630888148905591
dubliners,Dubliners,3.263282326595508,7157,544.0369170321965,0.11951239516082011,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",bregman-family,0.17518979953881125,0.8435869678289576,0.8435869678289576
emile,Emile,51.48067915381241,11174,121.6640728464838,1.1145629056416988,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),sigmoid-family,0.17943049566076236,0.8223111628842125,0.8223111628842125
grimms_fairy_tales,Grimm's Fairy Tales,45.98251274197185,4746,295.83274181692707,0.1850631979113796,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),sigmoid-family,0.16479663604333397,-0.6110293602191493,0.6110293602191493
jane_eyre,Jane Eyre,16.307585257849095,12541,109.94814088472613,1.3680313276609635,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),sigmoid-family,0.16183967151697898,0.8976617892480626,0.8976617892480626
moby_dick,Moby Dick,10.497932011426359,16956,172.29660444070635,1.1526116535200732,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),sigmoid-family,0.1621264751767362,0.8390991648242996,0.8390991648242996
pride_and_prejudice,Pride and Prejudice,34.11942084275591,6729,70.88572196207117,1.1423785184733684,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),sigmoid-family,0.16675903402110864,0.8209851381824013,0.8209851381824013
ulysses,Ulysses,0.6324152122192379,28990,184.34773919684636,1.5405619063083855,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",bregman-family,0.1830188859516618,0.9283624807596441,0.9283624807596441
