slug,name,empirical_winner,empirical_zm_c,empirical_linear,empirical_quadratic,empirical_cubic,smooth_modal_winner,smooth_modal_share,smooth_exact_match_rate,smooth_help_rate,smooth_median_gap_full,smooth_median_gap_top100,single_zm_modal_winner,single_zm_modal_share,single_zm_exact_match_rate,single_zm_help_rate,single_zm_median_gap_full,single_zm_median_gap_top100
shakespeare,Complete Works of Shakespeare,"sub[sub[x,1],log[x]]",245.12028639513008,-11.485340083100793,32.19368382557215,-18.05911799779581,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.00540718229382163,0.022559379908351884,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.00467308220655939,0.04302823952955084
war_and_peace,War and Peace,"sub[sub[x,1],log[x]]",208.1554118691326,-6.403992963012998,15.880244181902189,-5.615330019190808,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.006027135796049021,0.029473175305565258,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.0048890083212029395,0.029084609222273655
moby_dick,Moby Dick,"eml[sub[x,1],eml[x,1]]",10.516886907869411,2.2256043638392806,-8.876999069915312,8.194323201434445,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.009601621419921533,-0.24021881425090572,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.008332963486290312,0.022305953596529066
king_james_bible,King James Bible,"sub[sub[x,1],log[x]]",172.53846030806335,-6.255487424300739,15.784342286669663,-6.0905859712976484,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.006507473311076609,0.03006907209254195,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.0056868671817258964,0.09477492157329823
federalist_papers,Federalist Papers,"sub[sub[x,1],log[x]]",109.15782674002422,-5.056274913282507,10.688280566672606,-1.66978867504605,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.007896017608407371,0.05346071069767877,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.006116263728352028,0.0515665953591915
grimms_fairy_tales,Grimm's Fairy Tales,"eml[sub[x,1],eml[x,1]]",45.784818073855334,-0.1301974138337971,-3.1045868243610437,5.681392112269833,"sub[sub[x,1],log[x]]",1.0,0.0,0.9,0.00782647873747841,0.07521087761140013,"eml[sub[x,1],eml[x,1]]",1.0,1.0,0.0,0.00996629638063995,0.16464437294307965
don_quixote,Don Quixote,"eml[sub[x,1],eml[x,1]]",65.75169363144559,-5.725652725688593,13.501042416320866,-5.251159483243634,"sub[sub[x,1],log[x]]",1.0,0.0,1.0,0.005688284628697721,0.0371124830010002,"eml[sub[x,1],eml[x,1]]",1.0,1.0,0.0,0.006021361350432491,0.07646848441886059
pride_and_prejudice,Pride and Prejudice,"eml[sub[x,1],eml[x,1]]",33.97520530951889,-2.929865529819683,6.363359331719381,-2.046533080590113,"eml[sub[x,1],eml[x,1]]",1.0,1.0,0.0,0.006990067984943324,-0.018949696606703315,"eml[sub[x,1],eml[x,1]]",1.0,1.0,0.0,0.0089830478253069,0.1631803154350674
canterbury_tales,Canterbury Tales,"eml[sub[x,1],eml[x,1]]",15.189061109732368,-0.8642706776646811,-0.2076853305687433,2.435010041170458,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.007569918022909558,-0.24741536224587232,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.0077141688283103305,0.017161445447873125
arabian_nights_vol1,Arabian Nights (Vol 1),"eml[sub[x,1],eml[x,1]]",6.400853588772384,0.5637801317045633,-3.555342430427425,3.854949949346727,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.0092032083813363,-0.08524678453931922,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.009247549159102753,0.11479945321400685
aesops_fables,Aesop's Fables,"eml[sub[x,1],eml[x,1]]",3.674101227077391,1.2467751803319733,-4.837366817816178,4.202639882771443,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.013008451733179632,0.0869196099383302,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.013560359195968277,0.1364031601941626
complete_sherlock_holmes,Complete Sherlock Holmes,"eml[sub[x,1],eml[x,1]]",10.253967064627185,-0.6927968925216217,0.3810711688038676,1.1039442009283804,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.010599176809336794,-0.03803526888393238,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.009853694758887602,0.09787595275870005
jane_eyre,Jane Eyre,"eml[sub[x,1],eml[x,1]]",16.241584292721182,-0.3031150075137099,-2.0754270296802635,4.040622639258022,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.008531641914453034,-0.1999563403925969,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.008052634731079672,0.004369469150462935
dubliners,Dubliners,"eml[sub[x,1],eml[x,1]]",3.2694186867859534,1.0534637394804869,-3.757455949200388,2.9921001183159235,"sub[sqrt[x],pow[x,x]]",0.9,0.1,0.0,0.010139643334324239,0.08883392026598516,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.011899310270370264,0.1575719821671961
the_iliad,The Iliad,"sub[sub[x,1],log[x]]",136.76878182252338,-3.4998808948227613,5.264735452391096,2.3637998969426945,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.007099940762683304,0.0542641137634467,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.006022782937918358,0.09181708328876634
