metric_name,value,display_format,notes
raw_sign_prediction_match_count_internal,18,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
internal_predicted_sign_match_count,18,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
raw_seam_term_match_head10_linear,17,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
raw_seam_term_match_head10_quadratic,17,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
raw_seam_term_match_head10_cubic,9,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
raw_seam_term_match_head50_linear,21,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
raw_seam_term_match_head50_quadratic,13,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
raw_seam_term_match_head50_cubic,15,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
raw_seam_full_sign_match_head10,2,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
raw_seam_full_sign_match_head50,2,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
numerical_refit_match_head50_linear,22,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
numerical_refit_match_head50_quadratic,16,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
numerical_refit_match_head50_cubic,15,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
numerical_refit_full_sign_match_head50,9,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_empirical_match_head50_linear,20,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_empirical_match_head50_quadratic,15,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_empirical_match_head50_cubic,18,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_empirical_full_match_head50,9,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_empirical_full_match_count,9,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_numerical_match_head50_linear,23,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_numerical_match_head50_quadratic,18,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_numerical_match_head50_cubic,16,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_numerical_full_match_head50,14,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
projected_vs_numerical_refit_full_match_count,14,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
second_order_match_head50_linear,17,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
second_order_match_head50_quadratic,15,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
second_order_match_head50_cubic,16,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
second_order_full_sign_match_head50,5,X/25 count,Legacy coupled-logistic seam-theory aggregate; preserved as prior canonical research output.
