corpus,tokens,vocabulary_size,zm_a,zm_b,zm_c,zm_rmse,step2_winner_expression,step2_winner_display,step2_rmse,rmse_improvement_absolute,rmse_improvement_pct,runner_up_expression,runner_up_rmse,winner_minus_runner_rmse,winner_family,contains_is_in_step2_beam,contains_exp_in_step2_beam
Complete Works of Shakespeare,988670,24458,17.169686773929307,1.7243760149010987,244.84484777363113,0.18443042500644333,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.18285154352815539,0.0015788814782879412,0.8560851487669568,"eml[sub[x,1],eml[x,1]]",0.18461777340942814,0.0017662298812727573,is,True,True
War and Peace,583368,17445,16.23161345841648,1.6808536990412744,209.1315494553841,0.182982301215073,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.18043682215068654,0.0025454790643864578,1.3911067067598866,"eml[sub[x,1],eml[x,1]]",0.1831808749702038,0.0027440528195172564,is,True,True
Moby Dick,219054,16956,11.279174906124378,1.1821698837630732,10.497932011426359,0.16154871217642858,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.16334575772525425,-0.0017970455488256765,-1.1123861803758048,"sub[sqrt[x],pow[x,x]]",0.1643352350610081,0.0009894773357538578,exp,True,True
King James Bible,792180,12555,17.70152813420587,1.8964020832729536,171.38167664978175,0.18823043086752944,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.1854896711109791,0.0027407597565503317,1.4560662396183914,"eml[sub[x,1],eml[x,1]]",0.18845643682086718,0.002966765709888075,is,True,True
Federalist Papers,192302,8617,13.924521943896071,1.554698599462922,109.04140681413556,0.19477513427832338,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.1916277812723682,0.0031473530059551724,1.6158905589343715,"eml[sub[x,1],eml[x,1]]",0.195160110344618,0.00353232907224979,is,True,True
Grimm's Fairy Tales,102114,4746,13.151959035818965,1.5802738767595035,45.98251274197185,0.1639896169456386,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.16550485072433857,-0.0015152337786999703,-0.9239815342713189,"sub[pow[x,x],sqrt[x]]",0.16705646289920434,0.0015516121748657685,exp,True,True
Don Quixote,433304,15574,14.117799338841305,1.484156070744385,65.66394188576379,0.17475947545743248,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.1763356841530791,-0.0015762086956466193,-0.901930319669876,"sub[sub[x,1],log[x]]",0.17692787402335688,0.0005921898702777872,exp,True,True
Pride and Prejudice,128565,6729,12.590385498967532,1.4555085387933726,34.11942084275591,0.16596695026783828,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.16783926418160022,-0.0018723139137619416,-1.1281245517498466,"sub[sqrt[x],pow[x,x]]",0.17026931052871588,0.002430046347115661,exp,True,True
Canterbury Tales,281189,17653,12.00772225086226,1.25647999068569,15.250535352832612,0.1665283991638177,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.1678242283162659,-0.0012958291524481913,-0.7781430428412726,"sub[sqrt[x],pow[x,x]]",0.17016778812525912,0.0023435598089932286,exp,True,True
Arabian Nights (Vol 1),176048,13883,11.010429917704688,1.1880559525379182,6.42540318643635,0.18214133284804268,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.18278688989650455,-0.0006455570484618645,-0.35442644366747955,"sub[pow[x,x],sqrt[x]]",0.1845699635740453,0.0017830736775407419,exp,True,True
